ProductID,Date,Zip,Units,Revenue,Country
10,2015-01-21,52428,1,681.98,Germany
10,2015-03-17,10823,1,681.98,Germany
10,2015-03-31,45663,1,681.98,Germany
10,2015-07-28,22049,1,681.98,Germany
100,2015-10-31,46397,1,1039.5,Germany
100,2015-10-31,53347,1,1039.5,Germany
100,2016-02-20,22587,1,1039.5,Germany
100,2016-03-20,22177,1,1039.5,Germany
100,2016-05-14,45768,1,1039.5,Germany
1000,2015-01-30,46485,2,178.4,Germany
1000,2015-01-31,53844,1,89.2,Germany
1000,2015-02-13,47546,1,89.2,Germany
1000,2015-02-15,45326,1,89.2,Germany
1000,2015-02-22,48432,1,89.2,Germany
1000,2015-02-25,51467,2,178.4,Germany
1000,2015-02-28,10551,1,89.2,Germany
1000,2015-03-05,52388,1,89.2,Germany
1000,2015-03-12,51149,1,89.2,Germany
1000,2015-03-13,20249,1,89.2,Germany
1000,2015-03-15,48691,1,89.2,Germany
1000,2015-03-17,10585,1,89.2,Germany
1000,2015-03-18,10777,1,89.2,Germany
1000,2015-03-20,47269,1,89.2,Germany
1000,2015-03-22,14059,1,89.2,Germany
1000,2015-03-22,47269,1,89.2,Germany
1000,2015-03-24,52134,1,89.2,Germany
1000,2015-03-25,45884,1,89.2,Germany
1000,2015-03-27,14052,1,89.2,Germany
1000,2015-03-27,42283,1,89.2,Germany
1000,2015-03-27,50189,1,89.2,Germany
1000,2015-03-28,12351,2,178.4,Germany
1000,2015-03-28,45739,1,89.2,Germany
1000,2015-03-29,40233,1,89.2,Germany
1000,2015-03-31,13357,1,89.2,Germany
1000,2015-03-31,14057,3,267.59,Germany
1000,2015-03-31,42859,1,89.2,Germany
1000,2015-03-31,45134,1,89.2,Germany
1000,2015-03-31,45475,1,89.2,Germany
1000,2015-03-31,47443,1,89.2,Germany
1000,2015-03-31,50765,1,89.2,Germany
1000,2015-03-31,52457,1,89.2,Germany
1000,2015-03-31,52538,1,89.2,Germany
1000,2015-04-04,10585,1,89.2,Germany
1000,2015-04-04,46047,1,89.2,Germany
1000,2015-04-04,52441,1,89.2,Germany
1000,2015-04-04,53123,1,89.2,Germany
1000,2015-04-07,10825,1,89.2,Germany
1000,2015-04-09,22605,1,89.2,Germany
1000,2015-04-10,10709,1,89.2,Germany
1000,2015-04-10,20251,1,89.2,Germany
1000,2015-04-10,44577,1,89.2,Germany
1000,2015-04-11,13589,1,89.2,Germany
1000,2015-04-11,41372,1,89.2,Germany
1000,2015-04-11,46047,1,89.2,Germany
1000,2015-04-14,14059,1,89.2,Germany
1000,2015-04-14,22417,2,178.4,Germany
1000,2015-04-14,42929,2,178.4,Germany
1000,2015-04-15,13357,1,89.2,Germany
1000,2015-04-15,22607,1,89.2,Germany
1000,2015-04-15,22767,1,89.2,Germany
1000,2015-04-16,10315,1,89.2,Germany
1000,2015-04-16,42107,1,89.2,Germany
1000,2015-04-16,46047,1,89.2,Germany
1000,2015-04-17,41066,1,89.2,Germany
1000,2015-04-17,46399,1,89.2,Germany
1000,2015-04-17,50169,1,89.2,Germany
1000,2015-04-17,53119,1,89.2,Germany
1000,2015-04-18,13129,1,89.2,Germany
1000,2015-04-18,22087,1,89.2,Germany
1000,2015-04-19,40472,2,178.4,Germany
1000,2015-04-19,41540,1,89.2,Germany
1000,2015-04-19,42105,1,89.2,Germany
1000,2015-04-21,12357,1,89.2,Germany
1000,2015-04-21,42105,1,89.2,Germany
1000,2015-04-21,45276,1,89.2,Germany
1000,2015-04-21,59387,1,89.2,Germany
1000,2015-04-22,21147,1,89.2,Germany
1000,2015-04-23,45134,1,89.2,Germany
1000,2015-04-23,45356,1,89.2,Germany
1000,2015-04-24,42281,2,178.4,Germany
1000,2015-04-24,47443,1,89.2,Germany
1000,2015-04-24,47665,1,89.2,Germany
1000,2015-04-25,50767,1,89.2,Germany
1000,2015-04-26,14193,2,178.4,Germany
1000,2015-04-28,13159,1,89.2,Germany
1000,2015-04-28,22177,1,89.2,Germany
1000,2015-04-28,53925,1,89.2,Germany
1000,2015-04-29,40233,1,89.2,Germany
1000,2015-04-29,41466,1,89.2,Germany
1000,2015-04-29,41516,1,89.2,Germany
1000,2015-04-29,48369,1,89.2,Germany
1000,2015-04-29,49549,2,178.4,Germany
1000,2015-04-30,12681,1,89.2,Germany
1000,2015-04-30,13357,1,89.2,Germany
1000,2015-04-30,22087,1,89.2,Germany
1000,2015-04-30,22359,2,178.4,Germany
1000,2015-04-30,22393,1,89.2,Germany
1000,2015-04-30,42283,1,89.2,Germany
1000,2015-04-30,45145,3,267.59,Germany
1000,2015-04-30,45481,1,89.2,Germany
1000,2015-04-30,47443,1,89.2,Germany
1000,2015-04-30,48432,1,89.2,Germany
1000,2015-04-30,50999,2,178.4,Germany
1000,2015-04-30,52457,1,89.2,Germany
1000,2015-05-01,52391,1,89.2,Germany
1000,2015-05-05,10243,1,89.2,Germany
1000,2015-05-06,12619,1,89.2,Germany
1000,2015-05-06,47506,1,89.2,Germany
1000,2015-05-07,45359,1,89.2,Germany
1000,2015-05-08,10245,1,89.2,Germany
1000,2015-05-08,50169,1,89.2,Germany
1000,2015-05-10,12247,1,89.2,Germany
1000,2015-05-10,22417,1,89.2,Germany
1000,2015-05-10,46047,2,178.4,Germany
1000,2015-05-12,45147,1,89.2,Germany
1000,2015-05-13,40593,1,89.2,Germany
1000,2015-05-14,12101,1,89.2,Germany
1000,2015-05-14,13505,1,89.2,Germany
1000,2015-05-14,40764,1,89.2,Germany
1000,2015-05-14,41366,1,89.2,Germany
1000,2015-05-14,52428,1,89.2,Germany
1000,2015-05-15,41352,2,178.4,Germany
1000,2015-05-16,14059,1,89.2,Germany
1000,2015-05-17,48369,1,89.2,Germany
1000,2015-05-19,13129,1,89.2,Germany
1000,2015-05-19,47475,1,89.2,Germany
1000,2015-05-20,22297,1,89.2,Germany
1000,2015-05-20,45279,1,89.2,Germany
1000,2015-05-22,41748,1,89.2,Germany
1000,2015-05-22,51467,2,178.4,Germany
1000,2015-05-22,52134,1,89.2,Germany
1000,2015-05-27,20251,1,89.2,Germany
1000,2015-05-28,20251,1,89.2,Germany
1000,2015-05-29,10245,1,89.2,Germany
1000,2015-05-29,22303,2,178.4,Germany
1000,2015-05-29,46045,1,89.2,Germany
1000,2015-05-29,46047,1,89.2,Germany
1000,2015-05-29,47057,1,89.2,Germany
1000,2015-05-30,12681,1,89.2,Germany
1000,2015-05-30,41352,1,89.2,Germany
1000,2015-05-31,12247,1,89.2,Germany
1000,2015-05-31,12249,1,89.2,Germany
1000,2015-05-31,22607,2,178.4,Germany
1000,2015-05-31,40597,1,89.2,Germany
1000,2015-05-31,48703,1,89.2,Germany
